employee_id,age,gender,location,department,job_role,tenure_months,salary,performance_rating,engagement_score,promotion_last_2yrs,remote_status,attrition
E00001,29,Male,Seattle,HR,HR Analyst,97,125200,4,75,0,Remote,No
E00002,53,Male,Austin,Marketing,Campaign Manager,47,113800,3,61,1,Remote,No
E00003,28,Female,Seattle,HR,HR Analyst,36,97000,3,62,0,Hybrid,No
E00004,41,Female,Austin,Product,Product Analyst,71,152700,4,71,0,Onsite,Yes
E00005,41,Female,Atlanta,Product,Program Manager,28,113700,3,63,0,Onsite,No
E00006,37,Male,Austin,Engineering,Data Engineer,38,140800,4,68,0,Hybrid,No
E00007,47,Male,Redmond,Product,Product Analyst,65,155400,3,95,0,Hybrid,No
E00008,33,Female,Atlanta,Engineering,Senior Software Engineer,121,160900,3,55,1,Hybrid,Yes
E00009,39,Female,Redmond,Product,Product Manager,75,141200,2,70,0,Remote,Yes
E00010,29,Female,Atlanta,IT,Security Analyst,84,119400,3,70,0,Hybrid,No
E00011,48,Female,Dublin,Engineering,Data Engineer,70,138600,2,82,0,Hybrid,No
E00012,40,Female,Seattle,Sales,Business Development Rep,69,114700,4,63,1,Onsite,No
E00013,26,Male,New York,Sales,Account Executive,22,108300,4,65,0,Hybrid,No
E00014,41,Male,Dublin,Sales,Sales Operations Analyst,72,116600,3,66,0,Remote,No
E00015,29,Male,New York,HR,HR Analyst,123,104000,3,67,0,Onsite,No
E00016,41,Female,Dublin,Sales,Business Development Rep,112,148500,2,88,0,Remote,Yes
E00017,52,Female,Redmond,Customer Support,Customer Success Manager,153,87700,2,43,0,Hybrid,Yes
E00018,46,Male,Austin,Customer Support,Customer Success Manager,120,99400,4,56,0,Onsite,No
E00019,31,Male,Redmond,Product,Program Manager,148,143600,3,54,1,Onsite,No
E00020,34,Female,Redmond,Product,Product Analyst,44,140700,4,71,0,Hybrid,No
E00021,40,Female,Seattle,Sales,Account Executive,45,108600,3,45,0,Hybrid,No
E00022,40,Female,Redmond,Sales,Sales Manager,101,125600,3,45,0,Onsite,Yes
E00023,37,Female,Seattle,Marketing,Growth Marketing Manager,107,111500,4,43,0,Onsite,No
E00024,33,Male,New York,Sales,Sales Operations Analyst,21,115300,3,60,0,Hybrid,Yes
E00025,36,Male,Austin,Customer Support,Support Team Lead,129,112400,4,50,0,Remote,No
E00026,35,Male,Seattle,Product,Product Analyst,86,133600,4,88,0,Hybrid,No
E00027,33,Female,Austin,Customer Support,Customer Success Manager,144,98800,3,39,0,Onsite,Yes
E00028,40,Female,Seattle,Finance,Finance Manager,149,138700,4,80,0,Hybrid,No
E00029,38,Female,Atlanta,Legal,Paralegal,47,127400,4,97,0,Hybrid,No
E00030,49,Male,London,HR,Recruiter,38,102700,3,74,0,Remote,No
E00031,36,Male,Redmond,Operations,Operations Analyst,71,118700,3,64,0,Remote,Yes
E00032,39,Male,Austin,HR,People Program Manager,48,109000,3,86,0,Onsite,No
E00033,43,Female,Austin,Legal,Contract Analyst,27,110800,2,98,1,Hybrid,No
E00034,27,Female,Redmond,Product,Product Manager,29,143700,4,74,0,Hybrid,No
E00035,32,Male,Toronto,Product,Product Manager,34,140800,4,80,1,Onsite,Yes
E00036,50,Female,New York,IT,IT Support Engineer,112,106600,2,88,1,Hybrid,No
E00037,34,Female,Redmond,Product,UX Research Coordinator,38,140300,3,79,0,Hybrid,No
E00038,29,Male,Austin,Product,Product Manager,30,127100,3,61,0,Hybrid,No
E00039,31,Male,New York,Product,Product Manager,49,139000,4,74,0,Hybrid,No
E00040,38,Female,Redmond,Legal,Paralegal,93,156300,4,40,0,Onsite,Yes
E00041,40,Male,Seattle,Customer Support,Support Team Lead,175,97300,4,67,1,Hybrid,No
E00042,42,Male,London,Sales,Business Development Rep,111,152800,5,74,0,Hybrid,No
E00043,34,Male,London,Engineering,Engineering Manager,93,144800,4,76,0,Hybrid,No
E00044,39,Female,Redmond,Engineering,Engineering Manager,105,162400,3,62,1,Hybrid,No
E00045,59,Male,Atlanta,Sales,Business Development Rep,117,119100,3,59,0,Hybrid,No
E00046,50,Male,Toronto,Operations,Operations Analyst,102,109900,3,71,0,Onsite,No
E00047,31,Female,Seattle,HR,HR Business Partner,27,81300,4,69,0,Hybrid,No
E00048,43,Female,Bangalore,Customer Support,Support Specialist,157,93500,5,51,0,Onsite,Yes
E00049,40,Male,Bangalore,Sales,Account Executive,83,127300,4,63,0,Hybrid,Yes
E00050,43,Female,Austin,Engineering,Senior Software Engineer,69,162100,4,57,0,Onsite,No
E00051,53,Female,Seattle,Customer Support,Support Team Lead,111,71500,3,39,1,Onsite,Yes
E00052,23,Female,Redmond,HR,HR Business Partner,118,105900,3,72,1,Onsite,No
E00053,38,Female,Redmond,HR,HR Analyst,97,114200,4,73,0,Hybrid,No
E00054,39,Female,Seattle,Sales,Sales Manager,45,136000,5,56,0,Hybrid,Yes
E00055,42,Female,Redmond,Operations,Process Improvement Analyst,50,91000,3,87,0,Hybrid,Yes
E00056,52,Male,Austin,HR,Recruiter,56,114600,5,88,1,Onsite,Yes
E00057,40,Male,Bangalore,Sales,Business Development Rep,82,124800,2,51,0,Onsite,Yes
E00058,34,Male,Seattle,Legal,Paralegal,50,126900,4,70,0,Hybrid,Yes
E00059,36,Female,Toronto,HR,People Program Manager,41,114300,4,73,0,Remote,No
E00060,39,Female,New York,Marketing,Campaign Manager,86,112800,3,67,0,Remote,No
E00061,31,Female,Austin,Finance,Accounting Analyst,142,119200,3,75,0,Onsite,Yes
E00062,47,Male,Austin,HR,HR Business Partner,110,123100,3,90,1,Hybrid,No
E00063,28,Male,Chicago,HR,Recruiter,58,121800,3,76,0,Remote,No
E00064,34,Female,London,Customer Support,Support Specialist,61,103400,3,83,1,Hybrid,No
E00065,27,Female,Toronto,Customer Support,Support Team Lead,80,75300,3,58,0,Hybrid,Yes
E00066,44,Male,Dallas,HR,Recruiter,88,126100,4,60,0,Onsite,No
E00067,38,Female,Seattle,Engineering,Senior Software Engineer,69,136000,4,51,0,Hybrid,No
E00068,45,Non-Binary,Chicago,Customer Support,Customer Success Manager,37,84200,3,38,0,Hybrid,Yes
E00069,35,Male,Redmond,Marketing,Campaign Manager,138,128900,4,74,0,Hybrid,Yes
E00070,35,Male,Seattle,Customer Support,Escalations Analyst,13,70800,5,49,0,Onsite,Yes
E00071,52,Female,Seattle,Engineering,Software Engineer,78,133500,3,70,0,Remote,No
E00072,36,Female,Chicago,Finance,FP&A Analyst,85,105700,3,82,0,Remote,No
E00073,26,Male,Toronto,Finance,Financial Analyst,70,121500,4,63,1,Hybrid,No
E00074,33,Male,Bangalore,Sales,Sales Operations Analyst,99,132500,3,41,0,Hybrid,Yes
E00075,38,Male,Atlanta,Sales,Sales Manager,107,144900,4,52,1,Onsite,No
E00076,44,Female,Atlanta,Customer Support,Escalations Analyst,131,86500,4,49,0,Hybrid,Yes
E00077,35,Female,Toronto,Customer Support,Customer Success Manager,72,100400,4,61,0,Hybrid,No
E00078,58,Female,Seattle,Customer Support,Support Specialist,41,105200,5,85,0,Hybrid,No
E00079,30,Male,Redmond,Engineering,Engineering Manager,105,128400,2,52,0,Remote,No
E00080,35,Male,Atlanta,Engineering,Engineering Manager,123,136500,4,85,0,Hybrid,No
E00081,38,Female,Seattle,Sales,Sales Operations Analyst,31,114200,5,61,1,Hybrid,No
E00082,34,Male,London,HR,Recruiter,20,87400,2,60,0,Hybrid,No
E00083,34,Female,Austin,Sales,Business Development Rep,60,129000,3,71,0,Hybrid,No
E00084,37,Male,Redmond,Customer Support,Support Team Lead,37,80000,4,87,1,Hybrid,No
E00085,28,Male,Redmond,Engineering,Software Engineer,65,166300,4,71,0,Hybrid,Yes
E00086,57,Female,Chicago,Engineering,Senior Software Engineer,96,135600,3,77,0,Remote,No
E00087,25,Male,Toronto,Legal,Legal Operations Specialist,61,140600,5,59,0,Hybrid,No
E00088,36,Female,Atlanta,IT,Systems Analyst,34,85700,4,75,0,Hybrid,No
E00089,46,Male,London,Product,Program Manager,39,137700,4,84,0,Hybrid,No
E00090,33,Male,London,Customer Support,Support Team Lead,92,81700,3,61,0,Hybrid,Yes
E00091,29,Female,Austin,Sales,Sales Manager,102,132000,2,73,0,Hybrid,No
E00092,31,Male,Redmond,Operations,Operations Analyst,134,94900,5,70,0,Onsite,No
E00093,43,Female,Toronto,Engineering,Software Engineer,10,122900,3,64,0,Hybrid,No
E00094,34,Female,Atlanta,Sales,Sales Operations Analyst,74,136000,4,63,0,Remote,No
E00095,30,Male,Seattle,IT,Cloud Operations Analyst,98,104200,4,58,0,Remote,No
E00096,39,Female,New York,IT,Systems Analyst,29,101200,3,74,0,Hybrid,No
E00097,46,Female,Redmond,Engineering,Data Engineer,94,148500,3,53,0,Hybrid,Yes
E00098,55,Female,Toronto,Product,Program Manager,82,121100,3,52,0,Hybrid,No
E00099,37,Male,Toronto,Engineering,Senior Software Engineer,93,148200,3,68,0,Onsite,Yes
E00100,37,Female,Redmond,HR,HR Analyst,86,134900,5,80,0,Hybrid,No
E00101,38,Female,Dublin,Finance,FP&A Analyst,55,95500,3,54,0,Onsite,Yes
E00102,48,Female,Toronto,Customer Support,Support Team Lead,43,97500,4,58,0,Hybrid,No
E00103,26,Female,Austin,Finance,Finance Manager,20,106100,4,65,0,Hybrid,No
E00104,35,Female,Chicago,Marketing,Growth Marketing Manager,124,110600,3,63,0,Hybrid,No
E00105,43,Female,New York,Sales,Sales Manager,42,109400,3,62,0,Hybrid,No
E00106,47,Male,London,HR,HR Analyst,17,89100,2,71,1,Remote,Yes
E00107,36,Male,Redmond,Finance,Accounting Analyst,10,105100,4,84,0,Hybrid,No
E00108,57,Female,Austin,Marketing,Marketing Analyst,36,93500,4,51,0,Hybrid,No
E00109,55,Male,Austin,Engineering,Data Engineer,127,149700,5,92,1,Onsite,No
E00110,32,Female,London,Product,Product Manager,28,146700,4,71,0,Remote,No
E00111,34,Female,Atlanta,Product,Program Manager,101,155600,5,70,0,Onsite,No
E00112,24,Male,Seattle,Customer Support,Customer Success Manager,44,84100,3,69,0,Remote,No
E00113,57,Male,Toronto,Sales,Business Development Rep,37,131700,4,74,0,Hybrid,No
E00114,38,Female,Bangalore,Product,Product Manager,79,154300,3,76,1,Hybrid,No
E00115,34,Male,Redmond,IT,IT Support Engineer,96,121900,4,60,0,Hybrid,No
E00116,47,Female,Seattle,Finance,Finance Manager,106,115100,3,61,0,Hybrid,No
E00117,39,Male,Austin,Customer Support,Support Specialist,81,80400,3,50,0,Onsite,No
E00118,39,Female,Seattle,Customer Support,Support Specialist,88,56700,3,44,0,Hybrid,No
E00119,34,Female,Bangalore,IT,Systems Analyst,59,95900,3,70,0,Remote,No
E00120,39,Male,Toronto,Engineering,Senior Software Engineer,46,141800,3,75,0,Hybrid,Yes
E00121,35,Male,London,Sales,Account Executive,33,116200,3,35,0,Hybrid,Yes
E00122,29,Male,Seattle,IT,Systems Analyst,50,87900,3,55,0,Remote,No
E00123,31,Male,Bangalore,Operations,Operations Analyst,51,111200,4,57,0,Hybrid,No
E00124,45,Male,Redmond,Marketing,Growth Marketing Manager,111,125800,3,86,0,Remote,No
E00125,41,Male,Chicago,Sales,Sales Operations Analyst,104,119800,4,62,0,Hybrid,No
E00126,27,Female,Toronto,IT,Systems Analyst,41,105600,4,76,0,Hybrid,No
E00127,45,Female,Redmond,HR,People Program Manager,53,121500,4,64,0,Hybrid,No
E00128,40,Female,London,Operations,Process Improvement Analyst,72,105900,4,66,0,Hybrid,Yes
E00129,49,Male,Seattle,Finance,Finance Manager,23,97300,3,56,1,Onsite,Yes
E00130,57,Female,Dallas,Product,UX Research Coordinator,55,123500,3,85,1,Onsite,Yes
E00131,31,Female,New York,Legal,Contract Analyst,48,120200,3,84,0,Hybrid,No
E00132,33,Non-Binary,Seattle,Marketing,Content Strategist,22,88200,4,59,0,Remote,No
E00133,48,Non-Binary,Dublin,HR,HR Analyst,72,120100,3,73,0,Remote,No
E00134,36,Male,Chicago,IT,Security Analyst,91,107200,3,61,0,Hybrid,No
E00135,37,Female,Redmond,Finance,Finance Manager,78,115700,3,62,0,Hybrid,No
E00136,34,Male,Redmond,Marketing,Content Strategist,56,127200,4,64,0,Onsite,No
E00137,37,Female,London,Engineering,Software Engineer,51,150700,3,58,0,Remote,No
E00138,53,Female,London,Product,Product Manager,20,137600,3,59,0,Onsite,No
E00139,39,Non-Binary,Toronto,Customer Support,Escalations Analyst,106,82200,3,77,0,Hybrid,No
E00140,33,Non-Binary,Bangalore,Sales,Business Development Rep,16,121800,3,45,0,Remote,Yes
E00141,43,Female,Seattle,Engineering,Engineering Manager,96,156000,3,73,0,Onsite,No
E00142,34,Male,Redmond,Sales,Sales Operations Analyst,91,129100,4,74,1,Onsite,No
E00143,32,Female,Redmond,Customer Support,Customer Success Manager,33,82600,3,61,0,Hybrid,No
E00144,35,Male,Austin,Customer Support,Escalations Analyst,130,103900,3,72,0,Hybrid,No
E00145,57,Male,London,Marketing,Campaign Manager,103,122900,3,41,0,Hybrid,No
E00146,33,Non-Binary,Redmond,Product,Product Analyst,110,170100,5,89,1,Hybrid,No
E00147,49,Male,Redmond,Finance,Finance Manager,63,111900,3,72,0,Onsite,No
E00148,29,Female,Dallas,Sales,Account Executive,67,110800,3,66,1,Remote,No
E00149,43,Male,Redmond,IT,Security Analyst,136,120700,4,68,1,Onsite,No
E00150,39,Male,Bangalore,Engineering,Engineering Manager,139,159600,3,98,0,Remote,No
E00151,39,Male,Atlanta,Marketing,Campaign Manager,24,104900,4,60,0,Hybrid,No
E00152,28,Female,Dublin,IT,Systems Analyst,140,157500,5,72,0,Remote,No
E00153,36,Male,Seattle,Product,Program Manager,70,150200,4,79,1,Remote,No
E00154,39,Male,Dallas,Marketing,Growth Marketing Manager,32,101900,5,78,0,Remote,No
E00155,47,Non-Binary,Chicago,Finance,Accounting Analyst,110,116700,3,77,0,Hybrid,No
E00156,31,Male,Atlanta,HR,HR Analyst,35,87100,3,89,1,Onsite,No
E00157,36,Male,Chicago,IT,Systems Analyst,55,109400,3,39,0,Hybrid,No
E00158,43,Female,Redmond,Product,Product Analyst,15,141200,5,97,0,Hybrid,No
E00159,44,Female,Seattle,Finance,Financial Analyst,100,118600,5,64,0,Onsite,No
E00160,38,Male,Seattle,Customer Support,Support Team Lead,81,78800,3,53,1,Onsite,Yes
E00161,33,Male,Chicago,Marketing,Campaign Manager,54,101400,2,62,0,Hybrid,No
E00162,38,Female,Seattle,Operations,Business Operations Specialist,79,140000,4,74,1,Hybrid,No
E00163,27,Female,New York,Sales,Sales Operations Analyst,118,133000,4,75,0,Remote,Yes
E00164,52,Male,Chicago,Sales,Sales Manager,49,110400,3,57,1,Hybrid,Yes
E00165,40,Female,Dublin,Marketing,Content Strategist,60,96300,3,60,1,Hybrid,No
E00166,37,Female,New York,Legal,Legal Operations Specialist,45,113700,4,71,0,Onsite,Yes
E00167,35,Male,Austin,Engineering,Data Engineer,15,145200,3,68,0,Onsite,No
E00168,47,Female,Chicago,Sales,Account Executive,43,142000,3,58,0,Remote,No
E00169,35,Female,Dallas,Engineering,Senior Software Engineer,82,148100,4,70,0,Hybrid,Yes
E00170,41,Female,Dublin,Sales,Sales Manager,41,106800,4,53,0,Hybrid,No
E00171,43,Female,Redmond,IT,Security Analyst,24,112300,3,67,0,Hybrid,No
E00172,48,Female,Toronto,Customer Support,Support Specialist,85,101200,3,48,0,Remote,No
E00173,36,Male,Dallas,Legal,Legal Operations Specialist,125,135500,3,40,1,Hybrid,No
E00174,50,Male,Dublin,Marketing,Marketing Analyst,62,117900,4,66,0,Hybrid,No
