survey_id,employee_id,survey_date,satisfaction_score,work_life_balance_score,manager_effectiveness_score
S00001_1,E00001,2025-08-20,7,6,6
S00001_2,E00001,2025-11-21,8,7,10
S00002_1,E00002,2025-08-01,7,6,4
S00002_2,E00002,2025-11-15,5,4,5
S00003_1,E00003,2025-09-07,6,4,8
S00004_1,E00004,2025-09-07,6,10,8
S00005_1,E00005,2025-08-26,7,6,4
S00005_2,E00005,2025-10-01,6,7,6
S00006_1,E00006,2025-09-26,8,8,4
S00006_2,E00006,2025-12-12,8,8,6
S00007_1,E00007,2025-09-21,10,10,10
S00007_2,E00007,2025-11-03,8,9,10
S00007_3,E00007,2025-12-01,10,7,10
S00008_1,E00008,2025-12-19,5,5,5
S00009_1,E00009,2025-11-09,7,9,7
S00010_1,E00010,2025-07-16,7,7,5
S00010_2,E00010,2025-10-12,8,8,6
S00011_1,E00011,2025-08-12,5,5,8
S00011_2,E00011,2025-10-13,9,8,9
S00011_3,E00011,2025-11-02,8,10,7
S00012_1,E00012,2025-11-08,7,7,5
S00013_1,E00013,2025-09-06,7,5,8
S00014_1,E00014,2025-09-01,6,7,8
S00015_1,E00015,2025-09-26,6,7,8
S00016_1,E00016,2025-10-18,8,9,10
S00016_2,E00016,2025-12-28,8,9,9
S00017_1,E00017,2025-10-13,4,1,4
S00017_2,E00017,2025-12-06,5,5,3
S00018_1,E00018,2025-08-21,4,8,6
S00018_2,E00018,2025-08-26,5,5,4
S00018_3,E00018,2025-10-26,6,6,6
S00019_1,E00019,2025-07-30,6,4,7
S00019_2,E00019,2025-11-08,5,7,9
S00020_1,E00020,2025-09-14,8,8,8
S00020_2,E00020,2025-11-19,9,6,8
S00021_1,E00021,2025-07-22,4,4,6
S00021_2,E00021,2025-12-16,4,4,5
S00022_1,E00022,2025-08-07,4,3,2
S00022_2,E00022,2025-12-15,6,2,5
S00023_1,E00023,2025-10-18,3,5,3
S00023_2,E00023,2025-11-07,6,3,3
S00024_1,E00024,2025-12-25,7,7,7
S00025_1,E00025,2025-09-29,5,7,7
S00026_1,E00026,2025-10-09,7,8,9
S00026_2,E00026,2025-11-29,8,8,8
S00027_1,E00027,2025-07-18,4,4,2
S00027_2,E00027,2025-08-27,4,1,4
S00027_3,E00027,2025-12-14,4,4,4
S00028_1,E00028,2025-10-05,6,9,10
S00028_2,E00028,2025-11-25,9,8,7
S00028_3,E00028,2025-12-21,8,5,7
S00029_1,E00029,2025-08-09,10,10,10
S00029_2,E00029,2025-10-20,9,8,10
S00029_3,E00029,2025-12-29,9,7,10
S00030_1,E00030,2025-08-24,7,9,7
S00031_1,E00031,2025-10-12,5,6,5
S00032_1,E00032,2025-08-17,9,10,8
S00032_2,E00032,2025-12-24,10,9,7
S00033_1,E00033,2025-07-04,9,9,9
S00033_2,E00033,2025-07-27,10,10,10
S00034_1,E00034,2025-08-27,8,6,8
S00034_2,E00034,2025-12-06,7,6,7
S00035_1,E00035,2025-10-29,8,9,8
S00035_2,E00035,2025-11-30,6,6,9
S00036_1,E00036,2025-08-01,8,9,8
S00037_1,E00037,2025-09-07,7,10,8
S00037_2,E00037,2025-11-25,6,8,9
S00037_3,E00037,2025-12-20,8,6,7
S00038_1,E00038,2025-07-23,6,7,7
S00039_1,E00039,2025-10-21,7,10,10
S00039_2,E00039,2025-11-02,7,7,8
S00039_3,E00039,2025-12-26,9,7,7
S00040_1,E00040,2025-08-18,5,3,6
S00040_2,E00040,2025-10-07,2,3,6
S00041_1,E00041,2025-09-21,9,4,7
S00041_2,E00041,2025-10-25,8,8,6
S00042_1,E00042,2025-07-26,8,7,9
S00042_2,E00042,2025-10-21,9,8,7
S00042_3,E00042,2025-11-12,8,6,6
S00043_1,E00043,2025-07-24,8,10,7
S00043_2,E00043,2025-08-28,7,7,8
S00043_3,E00043,2025-10-20,8,9,8
S00044_1,E00044,2025-08-06,5,5,5
S00044_2,E00044,2025-08-29,4,5,7
S00044_3,E00044,2025-10-27,6,6,10
S00045_1,E00045,2025-12-16,7,6,6
S00046_1,E00046,2025-12-16,8,5,9
S00046_2,E00046,2025-12-22,6,6,8
S00047_1,E00047,2025-11-01,8,7,8
S00048_1,E00048,2025-10-03,7,4,3
S00048_2,E00048,2025-10-25,3,4,6
S00049_1,E00049,2025-07-10,5,6,8
S00050_1,E00050,2025-07-09,5,5,5
S00050_2,E00050,2025-09-10,6,3,8
S00051_1,E00051,2025-08-02,4,3,5
S00052_1,E00052,2025-07-04,8,5,9
S00053_1,E00053,2025-07-12,7,9,10
S00053_2,E00053,2025-11-11,8,8,6
S00053_3,E00053,2025-12-16,9,9,5
S00054_1,E00054,2025-12-14,6,7,4
S00054_2,E00054,2025-12-15,6,4,7
S00055_1,E00055,2025-10-04,10,9,7
S00056_1,E00056,2025-08-09,6,9,8
S00056_2,E00056,2025-12-16,10,9,10
S00057_1,E00057,2025-09-18,5,6,6
S00057_2,E00057,2025-09-25,6,7,6
S00058_1,E00058,2025-12-06,7,7,6
S00059_1,E00059,2025-07-02,7,7,8
S00059_2,E00059,2025-08-22,8,8,7
S00060_1,E00060,2025-09-19,5,5,6
S00061_1,E00061,2025-10-11,10,9,7
S00061_2,E00061,2025-11-12,7,7,7
S00062_1,E00062,2025-08-15,7,9,9
S00062_2,E00062,2025-12-08,8,10,8
S00063_1,E00063,2025-07-15,8,7,9
S00063_2,E00063,2025-10-03,6,7,6
S00064_1,E00064,2025-11-07,9,9,7
S00064_2,E00064,2025-12-13,9,7,8
S00065_1,E00065,2025-08-08,7,7,7
S00065_2,E00065,2025-09-24,5,5,4
S00065_3,E00065,2025-12-02,7,7,7
S00066_1,E00066,2025-08-24,7,4,8
S00067_1,E00067,2025-08-09,6,7,3
S00067_2,E00067,2025-08-11,3,5,5
S00068_1,E00068,2025-10-21,3,4,3
S00068_2,E00068,2025-11-24,5,6,3
S00069_1,E00069,2025-08-07,8,7,9
S00069_2,E00069,2025-11-09,6,10,5
S00070_1,E00070,2025-10-29,5,4,4
S00071_1,E00071,2025-10-26,8,10,8
S00071_2,E00071,2025-12-07,6,7,6
S00072_1,E00072,2025-07-06,9,9,8
S00072_2,E00072,2025-10-08,7,9,8
S00072_3,E00072,2025-11-19,7,9,8
S00073_1,E00073,2025-07-17,6,3,7
S00073_2,E00073,2025-08-04,6,7,4
S00074_1,E00074,2025-10-03,3,5,1
S00075_1,E00075,2025-07-21,4,4,6
S00076_1,E00076,2025-10-02,3,5,5
S00076_2,E00076,2025-10-12,5,6,3
S00077_1,E00077,2025-10-02,5,7,6
S00077_2,E00077,2025-11-13,7,6,4
S00078_1,E00078,2025-07-23,10,8,7
S00078_2,E00078,2025-10-22,7,7,8
S00078_3,E00078,2025-12-22,8,9,8
S00079_1,E00079,2025-07-17,7,3,10
S00079_2,E00079,2025-07-23,5,4,5
S00080_1,E00080,2025-07-15,10,9,9
S00080_2,E00080,2025-08-01,8,10,7
S00080_3,E00080,2025-11-10,10,10,7
S00081_1,E00081,2025-07-08,9,8,6
S00081_2,E00081,2025-07-11,5,7,8
S00081_3,E00081,2025-11-22,6,6,8
S00082_1,E00082,2025-12-31,6,4,9
S00083_1,E00083,2025-08-10,8,4,7
S00083_2,E00083,2025-09-02,6,10,10
S00084_1,E00084,2025-09-12,9,9,10
S00084_2,E00084,2025-11-15,9,8,10
S00085_1,E00085,2025-09-25,6,7,8
S00085_2,E00085,2025-10-04,8,7,7
S00085_3,E00085,2025-10-09,9,8,8
S00086_1,E00086,2025-07-05,6,7,9
S00087_1,E00087,2025-08-13,5,4,6
S00087_2,E00087,2025-11-12,5,6,6
S00088_1,E00088,2025-08-23,4,6,6
S00088_2,E00088,2025-11-10,8,9,7
S00089_1,E00089,2025-08-23,8,7,7
S00089_2,E00089,2025-09-12,9,10,7
S00089_3,E00089,2025-12-28,8,10,6
S00090_1,E00090,2025-11-21,7,6,7
S00090_2,E00090,2025-12-26,6,5,9
S00091_1,E00091,2025-08-21,7,7,6
S00091_2,E00091,2025-10-31,7,8,7
S00091_3,E00091,2025-12-14,6,8,9
S00092_1,E00092,2025-07-03,6,7,8
S00092_2,E00092,2025-07-10,7,9,7
S00092_3,E00092,2025-09-15,4,7,8
S00093_1,E00093,2025-10-12,6,6,6
S00093_2,E00093,2025-10-18,6,6,7
S00094_1,E00094,2025-08-10,7,5,3
S00094_2,E00094,2025-10-12,8,5,6
S00095_1,E00095,2025-08-25,5,5,4
S00095_2,E00095,2025-09-02,6,4,4
S00096_1,E00096,2025-11-08,8,7,7
S00097_1,E00097,2025-07-17,5,5,8
S00098_1,E00098,2025-12-17,7,6,5
S00098_2,E00098,2025-12-22,6,5,6
S00099_1,E00099,2025-07-29,8,9,7
S00100_1,E00100,2025-07-15,7,8,9
S00100_2,E00100,2025-08-05,6,7,9
S00101_1,E00101,2025-11-04,6,6,5
S00101_2,E00101,2025-11-20,4,3,5
S00102_1,E00102,2025-08-04,6,7,4
S00102_2,E00102,2025-10-08,4,6,5
S00103_1,E00103,2025-07-04,9,5,10
S00103_2,E00103,2025-08-24,10,5,7
S00103_3,E00103,2025-09-16,6,6,8
S00104_1,E00104,2025-09-19,4,5,7
S00105_1,E00105,2025-09-04,8,6,5
S00105_2,E00105,2025-09-25,6,6,5
S00105_3,E00105,2025-11-03,6,5,8
S00106_1,E00106,2025-10-25,7,6,9
S00107_1,E00107,2025-07-28,10,8,8
S00107_2,E00107,2025-08-15,10,8,10
S00108_1,E00108,2025-10-06,4,6,4
S00109_1,E00109,2025-07-20,8,9,8
S00110_1,E00110,2025-10-08,8,7,7
S00110_2,E00110,2025-12-21,6,10,7
S00111_1,E00111,2025-08-28,6,6,8
S00111_2,E00111,2025-09-30,8,5,8
S00111_3,E00111,2025-11-03,7,8,8
S00112_1,E00112,2025-07-27,7,8,7
S00112_2,E00112,2025-10-13,8,8,6
S00113_1,E00113,2025-08-12,8,6,8
S00114_1,E00114,2025-09-23,6,10,10
S00114_2,E00114,2025-10-21,5,8,9
S00115_1,E00115,2025-07-30,7,6,7
S00115_2,E00115,2025-10-02,6,6,6
S00116_1,E00116,2025-07-19,5,7,5
S00116_2,E00116,2025-10-05,5,9,5
S00117_1,E00117,2025-12-13,4,4,5
S00118_1,E00118,2025-07-07,5,3,4
S00119_1,E00119,2025-09-15,9,8,8
S00120_1,E00120,2025-07-08,6,7,5
S00120_2,E00120,2025-10-10,6,8,8
S00121_1,E00121,2025-10-09,4,4,4
S00121_2,E00121,2025-11-28,3,4,2
S00122_1,E00122,2025-11-15,5,9,4
S00122_2,E00122,2025-12-25,6,7,5
S00123_1,E00123,2025-07-22,6,3,5
S00123_2,E00123,2025-08-12,6,6,6
S00124_1,E00124,2025-07-27,9,7,10
S00124_2,E00124,2025-09-02,8,9,9
S00124_3,E00124,2025-12-15,7,10,8
S00125_1,E00125,2025-12-28,6,8,8
S00126_1,E00126,2025-12-21,8,7,8
S00127_1,E00127,2025-07-24,5,5,8
S00127_2,E00127,2025-10-26,5,3,8
S00128_1,E00128,2025-07-05,8,9,6
S00128_2,E00128,2025-10-26,7,8,6
S00129_1,E00129,2025-08-29,5,6,7
S00129_2,E00129,2025-12-27,6,7,7
S00130_1,E00130,2025-09-15,10,10,9
S00131_1,E00131,2025-07-26,8,9,9
S00132_1,E00132,2025-08-22,4,6,6
S00132_2,E00132,2025-09-16,5,9,7
S00132_3,E00132,2025-12-16,7,6,7
S00133_1,E00133,2025-07-18,4,9,7
S00134_1,E00134,2025-08-09,5,6,4
S00134_2,E00134,2025-08-22,4,6,6
S00135_1,E00135,2025-08-11,8,6,7
S00135_2,E00135,2025-11-05,4,7,7
S00136_1,E00136,2025-07-15,7,6,8
S00136_2,E00136,2025-11-05,8,8,5
S00137_1,E00137,2025-08-27,5,7,6
S00137_2,E00137,2025-10-16,5,7,6
S00138_1,E00138,2025-08-21,5,8,6
S00139_1,E00139,2025-07-03,8,10,8
S00139_2,E00139,2025-09-24,9,6,9
S00140_1,E00140,2025-07-25,6,3,4
S00140_2,E00140,2025-11-26,3,6,6
S00141_1,E00141,2025-07-28,8,8,8
S00141_2,E00141,2025-08-09,6,8,8
S00142_1,E00142,2025-07-13,7,7,7
S00142_2,E00142,2025-10-10,8,7,6
S00142_3,E00142,2025-11-09,8,7,7
S00143_1,E00143,2025-07-06,7,8,6
S00143_2,E00143,2025-07-17,6,8,4
S00143_3,E00143,2025-07-20,8,8,9
S00144_1,E00144,2025-10-14,9,8,6
S00144_2,E00144,2025-11-05,8,8,5
S00145_1,E00145,2025-07-07,4,4,5
S00145_2,E00145,2025-08-16,6,3,8
S00146_1,E00146,2025-08-14,9,10,10
S00146_2,E00146,2025-09-29,10,7,9
S00147_1,E00147,2025-07-01,8,8,7
S00147_2,E00147,2025-09-23,9,9,9
S00148_1,E00148,2025-09-21,5,7,7
S00149_1,E00149,2025-08-02,6,3,8
S00149_2,E00149,2025-08-15,6,10,7
